Name,Street,Suburb,City,Region,Longitude,Latitude
St Patrick's School (Greymouth),Puketahi Street,,Greymouth,West Coast,171.211341,-42.451961
St Patrick's School (Waimate),Cameron Street,,Waimate,Canterbury,171.052424,-44.731437
St Patrick's School (Kaiapoi),Fuller Street,,Kaiapoi,Canterbury,172.654107,-43.384357
St Peter's School (Beckenham),11 Fisher Avenue,Beckenham,Christchurch,Canterbury,172.63769,-43.559761
St Teresa's School (Riccarton),10 Puriri Street,,Christchurch,Canterbury,172.592132,-43.529754
Our Lady Star of the Sea School (Christchurch),45 Colenso Street,Sumner,Christchurch,Canterbury,172.762535,-43.574864
Sumner School,Colenso Street,Sumner,Christchurch,Canterbury,172.75962,-43.573093
Swannanoa School,1305 Tram Road,,Rangiora,Canterbury,172.495558,-43.369338
Tai Tapu School,Main Akaora Highway,Taitapu,Christchurch,Canterbury,172.550058,-43.663624
Te One School,North Road,Waitangi (Chatham Islands),Chatham Islands,Area Outside,,
Waitaha School,12 Lemonwood Drive,,Rolleston,Canterbury,172.385917,-43.623427
Templeton School,40 Kirk Road,Templeton,Christchurch,Canterbury,172.472353,-43.550157
Thorrington School,22A Colombo Street,Cashmere,Christchurch,Canterbury,172.63656,-43.5663
Tinwald School,131 Thomson Street,Tinwald,Ashburton,Canterbury,171.719059,-43.923882
Tuahiwi School,206 Tuahiwi Road,,Kaiapoi,Canterbury,172.643788,-43.334242
View Hill School,RD 1 Island Road,Oxford,Christchurch,Canterbury,172.071825,-43.299028
Waiau School,11 Montrose Street,,Waiau,Canterbury,173.042002,-42.653679
Waihao Downs School,1139 Hakataramea Highway,Waihao Downs,Waimate,Canterbury,170.927475,-44.790957
Waikari School,23 Princes Street,,Waikari,Canterbury,172.700669,-42.969371
Pegasus Bay School,5 Solander Road,,Pegasus,Canterbury,172.692258,-43.314904
Waimairi School,Tillman Avenue,,Christchurch,Canterbury,172.605274,-43.504209
Waimataitai School,25 Trafalgar Street,,Timaru,Canterbury,171.238234,-44.388031
Waimate Centennial School,5 Hughes Street,,Waimate,Canterbury,171.038634,-44.729128
Waimate Main School,25 John Street,,Waimate,Canterbury,171.046658,-44.736301
Waipara School,2 Loffhagen Drive,,Waipara,Canterbury,172.762045,-43.053617
Wairakei School (Christchurch),250 Wairakei Road,Bryndwr,Christchurch,Canterbury,172.588274,-43.500162
Waituna Creek School,Waituna School Road,,Waimate,Canterbury,171.016702,-44.700998
Wakanui School,Wakanui School Road,,Ashburton,Canterbury,171.822849,-43.97386
Waltham School,Hastings Street East,Waltham,Christchurch,Canterbury,172.648605,-43.548984
Weedons School,Weedons Ross Road,Weedons,Christchurch,Canterbury,172.403173,-43.570603
West Eyreton School,1651 North Eyre Road,West Eyreton,Rangiora,Canterbury,172.360103,-43.349487
West Melton School,Weedons Ross Road,,West Melton,Canterbury,172.369378,-43.521438
West Spreydon School,147 Lyttelton Street,Spreydon,Christchurch,Canterbury,172.611289,-43.559629
Westburn School,257 Waimairi Road,Ilam,Christchurch,Canterbury,172.570879,-43.512142
Wharenui School,Matipo Street,Riccarton,Christchurch,Canterbury,172.596734,-43.536306
Whataroa School,65 Scally Road,,Whataroa,West Coast,170.361346,-43.262537
Longbeach School,Boundary Road,,Ashburton,Canterbury,171.68311,-43.979118
Windwhistle School,19 Rakaia Gorge Road,,Darfield,Canterbury,171.713277,-43.515519
Woodbury School,559 Woodbury Road,,Geraldine,Canterbury,171.20699,-44.034919
Woodend School,Main North Road,,Woodend,Canterbury,172.665396,-43.324559
Yaldhurst Model School,School Road,,Yaldhurst,Canterbury,172.502181,-43.510189
Abbotsford School,72 North Taieri Road,Abbotsford,Dunedin,Otago,170.417981,-45.893493
Alexandra School,Ventry Street,,Alexandra,Otago,169.389793,-45.25532
Andersons Bay School,92 Jeffery Street,Andersons Bay,Dunedin,Otago,170.535447,-45.894902
Ardgowan School,Ardgowan Road,,Oamaru,Otago,170.96723,-45.061238
Arthur Street School,26 Arthur Street,City Rise,Dunedin,Otago,170.495142,-45.872612
Fenwick School,25A Arun Street,South Hill,Oamaru,Otago,170.962019,-45.1059
Balaclava School,2 Mercer Street,Balaclava,Dunedin,Otago,170.467173,-45.888603
Balclutha School,Lanark Street,,Balclutha,Otago,169.742701,-46.24049
Balmacewen Intermediate,44 Chapman Street,Wakari,Dunedin,Otago,170.489854,-45.859234
Bradford School,42A Bradford Street,Bradford,Dunedin,Otago,170.467365,-45.876141
Broad Bay School,4 Roebuck Rise,Broad Bay,Dunedin,Otago,170.624143,-45.847668
Brockville School,Brockville Road,Brockville,Dunedin,Otago,170.460258,-45.867404
Clinton School,Halsey Street,,Clinton,Otago,169.381157,-46.200881
Clutha Valley School,2155 Clutha Valley Road,,Greenfield,Otago,169.550567,-46.093583
Clyde School,25 Blyth Street,,Clyde,Otago,169.319277,-45.191101
Concord School,5 Thoreau Street,Concord,Dunedin,Otago,170.454295,-45.903469
Cromwell Primary School,Molyneux Avenue,,Cromwell,Otago,169.203508,-45.044998
Dunedin North Intermediate,North Road,,Dunedin,Otago,170.522198,-45.853481
Duntroon School,Campbell Street,,Duntroon,Canterbury,170.68639,-44.856032
East Taieri School,11 Cemetery Road,East Taieri,Mosgiel,Otago,170.347113,-45.889784
Fairfield School (Dunedin),10 Sickels Street,Fairfield,Dunedin,Otago,170.391358,-45.90054
Pembroke School (Oamaru),Harlech Street,,Oamaru,Otago,170.982718,-45.078024
Five Forks School,1403 Kakanui Valley Road,,Waitaki,Otago,170.77056,-45.050513
Flagswamp School,445 Palmerston-Waikouati Road,,Waikouaiti,Otago,170.702892,-45.546507
George Street Normal School,George Street,,Dunedin,Otago,170.511816,-45.858333
Goldfields School (Cromwell),Gilling Place,,Cromwell,Otago,169.186579,-45.043379
Grants Braes School,137 Belford Street,Waverley,Dunedin,Otago,170.533453,-45.884421
Green Island School,3 Howden Street,Green Island,Dunedin,Otago,170.429447,-45.904765
Halfway Bush School,54 Ashmore Street,Halfway Bush,Dunedin,Otago,170.465977,-45.856996
Hampden School,41-47 Norwich Street,,Hampden,Otago,170.815924,-45.325312
Hawea Flat School,576 Camphill Road RD 2,Hawea Flat,Wanaka,Otago,169.291042,-44.651712
Heriot School,181 Roxburgh Street,Heriot,Tapanui,Otago,169.273181,-45.839151
Kaikorai School,22 Tyne Street,Roslyn,Dunedin,Otago,170.491,-45.86544
Kaitangata School,108 Salcombe Street,,Kaitangata,Otago,169.852553,-46.280564
Kakanui School,Fyfe Place,,Kakanui,Otago,170.892811,-45.187253
Karitane School,Coast Road,,Karitane,Otago,170.656244,-45.64419
Lee Stream School,2518 Clarks Junction-Lee Stream Road,,Outram,Otago,170.097544,-45.781763
Macandrew Bay School,488 Portobello Road,Macandrew Bay,Dunedin,Otago,170.597757,-45.869692
Macraes Moonlight School,6 Hyde Street,Macraes Flat,Palmerston,Otago,170.428328,-45.381017
Maheno School,Short Street,,Maheno,Otago,170.834247,-45.167289
Makarora Primary School,31 Rata Road,Makarora,Wanaka,Otago,169.23366,-44.234007
Maori Hill School,Passmore Crescent,Maori Hill,Dunedin,Otago,170.500961,-45.857407
Millers Flat School,Teviot Road,,Millers Flat,Otago,169.409721,-45.659477
Milton School,Coronation Court,,Milton,Otago,169.962039,-46.113821
Mornington School,34 Elgin Road,Mornington,Dunedin,Otago,170.475506,-45.882501
Elmgrove School,74 Argyle Street,,Mosgiel,Otago,170.346066,-45.879635
Musselburgh School,34 Marlow Street,Musselburgh,Dunedin,Otago,170.51473,-45.903484
North East Valley Normal School,248 North Road,North East Valley,Dunedin,Otago,170.530516,-45.849261
